"X","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95","model","scenario_","year"
19,"Hong Kong","HK",19.3333333333333,15.1607611111111,14.0619502400225,16.2595719821997,0.607294212535003,0.393046882335341,0.901106482344006,2.967662541593,1.00221468584109,2.91259372853438,-4.17257222222222,0.293812269809003,2.57461565925766,-5.27138309331083,0.39492047330609,2.51954684619903,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
20,"Hungary","HU",11.1666666666667,6.67957222222222,5.76643338585321,7.59271105859123,1.53921109029065,4.92867358019522,3.81051523347384,25.0269487837296,4.58363603700105,33.2138419609482,-4.48709444444444,2.27130414318319,20.0982752035343,-5.40023328081345,3.04442494671041,28.285168380753,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
21,"India","IN",11,5.30217916666667,4.41468549358723,6.1896728397461,1.58708246480164,5.22159971540106,5.0258828993343,38.051388600902,5.96999247315152,48.6701118039049,-5.69782083333333,3.43880043453266,32.8297888855009,-6.58531450641277,4.38291000834988,43.4485120885038,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
22,"Indonesia","ID",11,6.81263472222222,5.92501087713152,7.70025856731292,1.58708246480164,5.22159971540106,3.70806565736526,23.9728758040321,4.44034787523214,31.6686061749813,-4.18736527777778,2.12098319256361,18.7512760886311,-5.07498912286848,2.8532654104305,26.4470064595802,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
23,"Ireland","IE",16.3333333333333,16.7767486111111,15.8874502445719,17.6660469776503,0.823008518368437,2.99602256341964,0.796894554149936,2.92390328569621,0.850478942201199,3.01163991040369,0.443415277777778,-0.0261139642185008,-0.0721192777234307,-0.445883088761386,0.0274704238327622,0.0156173469840439,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
24,"Italy","IT",11.6666666666667,9.74524305555556,8.66660084974034,10.8238852613708,1.40856136900902,4.19606818749611,2.02495091312224,8.34055410164893,2.52555243545696,12.5525761247517,-1.92142361111111,0.616389544113217,4.14448591415282,-3.00006581692632,1.11699106644794,8.35650793725556,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
25,"Japan","JP",16,11.1219861111111,10.073078659243,12.1708935629792,0.843361400754689,3.01196315014471,1.55182560787043,5.00469814326755,1.8965630839765,7.35723067001399,-4.87801388888889,0.708464207115738,1.99273499312284,-5.92692134075699,1.05320168322181,4.34526751986928,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
26,"Korea","KR",17.8333333333333,14.057575,13.1678789046983,14.9472710953017,0.732221463029722,2.40624824945712,1.00269723919343,2.91274095135545,1.11774779566221,3.06392166471592,-3.77575833333333,0.270475776163705,0.506492701898324,-4.66545442863505,0.385526332632489,0.657673415258799,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
27,"Latvia","LV",14.5,13.7654055555556,12.8513058697482,14.6795052413629,0.957414654886946,2.91748453104988,1.03664220819897,2.93379107704565,1.1679027355615,3.19366443898164,-0.734594444444443,0.0792275533120292,0.016306545995775,-1.64869413025184,0.210488080674556,0.276179907931763,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
28,"Lithuania","LT",14.5,13.4765930555556,12.5832008200838,14.3699852910273,0.957414654886946,2.91748453104988,1.07376239723676,2.98009636375892,1.21470875652925,3.34359045133505,-1.02340694444444,0.116347742349818,0.0626118327090381,-1.91679917991622,0.257294101642309,0.426105920285167,"MESSAGEix-GLOBIOM 2.0-M-R12-NGFS","Below 2","30"
